Year,Educational attainment ,15 - 24 Male,15 - 24 Female,25 - 39 Male,25 - 39 Female,40 and over Male,40 and over Female,15 - 24 Both sexes,25 - 39 Both sexes,40 and over Both sexes
2021,Primary and below,0,0,0.4,0.5,10.7,13.9,0,0.5,12.2
2021,Lower secondary,4.7,2.3,6.5,3.4,20.5,16.7,3.5,5,18.8
2021,Upper secondary,29,18.4,30.4,24.8,35.6,38.4,23.7,27.7,36.8
2021,Post-secondary - diploma/certificate,7.2,4.7,4.1,3.9,3.3,4,6,4,3.6
2021,Post-secondary - sub-degree,17,16.1,11.1,10,4.4,3.6,16.5,10.6,4.1
2021,Post-secondary - degree,42,58.5,47.6,57.3,25.4,23.5,50.2,52.2,24.6
2022,Primary and below,100,100,100,100,100,100,100,100,100
2022,Lower secondary,0,0,0.5,0.4,10.3,13.2,0,0.4,11.6
2022,Upper secondary,5.4,2.2,6.5,3.6,20,16.6,3.8,5.1,18.5
2022,Post-secondary - diploma/certificate,26.8,17.8,29.9,22.7,35.6,37.4,22.4,26.5,36.4
2022,Post-secondary - sub-degree,7.4,4,4.4,4.3,3.5,4.3,5.7,4.4,3.9
2022,Post-secondary - degree,17.8,16.2,11.6,10.3,4.6,4.1,17,11,4.4
